ISBN,Title,Subtitle,Authors,Publish Year,eBook Link,Price
978-94-011-5334-8,Can that be Right?,"Essays on Experiment, Evidence, and Science",A. Franklin,1999,https://doi.org/10.1007/978-94-011-5334-8,280
978-3-031-23133-9,Capturing the Senses,Digital Methods for Sensory Archaeologies,Giacomo Landeschi; Eleanor Betts,2023,https://doi.org/10.1007/978-3-031-23133-9,0
978-3-031-73565-3,Career Options in the Life Sciences: Guide Research for Your Path Beyond Academia,Unavailable,Stefano Gaburro; Eric Rieux,2024,https://link.springer.com/978-3-031-73565-3,170
978-3-031-14353-3,Careers in Food Science: From Undergraduate to Professional,Unavailable,Richard W. Hartel; Christina Klawitter; Abbey Thiel,2023,https://doi.org/10.1007/978-3-031-14353-3,240
978-0-387-77391-9,Careers in Food Science: From Undergraduate to Professional,Unavailable,Richard W Hartel; Christina P. Klawitter,2008,https://doi.org/10.1007/978-0-387-77391-9,140
978-3-319-20846-6,Catastrophes,Views from Natural and Human Sciences,Andreas Hoppe,2016,https://doi.org/10.1007/978-3-319-20846-6,66
978-1-4939-8700-9,Cellular Automata,"A Volume in the Encyclopedia of Complexity and Systems Science, Second Edition",Andrew Adamatzky,2018,https://doi.org/10.1007/978-1-4939-8700-9,1100
978-3-031-18092-7,Challenges in Science Education,Global Perspectives for the Future,Gregory P. Thomas; Helen J. Boon,2023,https://doi.org/10.1007/978-3-031-18092-7,300
978-3-642-19016-2,Challenges of a Changing Earth,"Proceedings of the Global Change Open Science Conference, Amsterdam, The Netherlands, 10–13 July 2001",Will Steffen; Jill Jäger; David J. Carson; Clare Bradshaw,2002,https://doi.org/10.1007/978-3-642-19016-2,400
978-94-017-8715-4,Changing Perspectives on the Social Sciences in Ghana,Unavailable,Samuel Agyei-Mensah; Joseph Atsu Ayee; Abena D. Oduro,2014,https://doi.org/10.1007/978-94-017-8715-4,180
978-981-15-3434-8,Charting the Sustainable Future of ASEAN in Science and Technology,Proceedings from the 3rd International Conference on the Future of ASEAN (ICoFA) 2019 - Volume 2,Nurul Zawani Alias; Rizana Yusof,2020,https://doi.org/10.1007/978-981-15-3434-8,280
978-1-4684-2163-7,Chemical Equilibrium,A Practical Introduction for the Physical and Life Sciences,William Guenther,1975,https://doi.org/10.1007/978-1-4684-2163-7,100
978-94-007-0958-4,Chemical Probes in Biology,"Science at the Interface of Chemistry, Biology and Medicine",Manfred P. Schneider,2003,https://doi.org/10.1007/978-94-007-0958-4,400
978-3-319-26248-2,Chemistry Education and Contributions from History and Philosophy of Science,Unavailable,Mansoor Niaz,2016,https://doi.org/10.1007/978-3-319-26248-2,200
978-3-642-17841-2,Chemometrics with R,Multivariate Data Analysis in the Natural Sciences and Life Sciences,Ron Wehrens,2011,https://doi.org/10.1007/978-3-642-17841-2,180
978-3-030-75146-3,China's Medium and Long-Term Science and Technology Program,History and Philosophy,Zhenghong Chen,2021,https://doi.org/10.1007/978-3-030-75146-3,280
978-94-017-9864-8,"Chinese Science Education in the 21st Century: Policy, Practice, and Research",21 世纪中国科学教育：政策、实践与研究,Ling L. Liang; Xiufeng Liu; Gavin W. Fulmer,2017,https://doi.org/10.1007/978-94-017-9864-8,280
978-94-015-8717-4,Chinese Studies in the History and Philosophy of Science and Technology,Unavailable,Fan Dainian; Robert S. Cohen,1996,https://doi.org/10.1007/978-94-015-8717-4,578
978-94-011-7924-9,"Chocolate, Cocoa and Confectionery: Science and Technology",Unavailable,Bernard Minifie,1989,https://doi.org/10.1007/978-94-011-7924-9,300
978-94-009-5508-0,Chorological phenomena in plant communities,"Proceedings of 26th International Symposium of the International Association for Vegetation Science, held at Prague, 5–8 April 1982",R. Neuhäusl; H. Dierschke; J.J. Barkman,1985,https://doi.org/10.1007/978-94-009-5508-0,154
978-1-4020-2776-5,Classical and New Paradigms of Computation and their Complexity Hierarchies,"Papers of the conference ""Foundations of the Formal Sciences III""",Benedikt Löwe; Boris Piwinger; Thoralf Räsch,2004,https://doi.org/10.1007/978-1-4020-2776-5,400
978-3-031-09034-9,Classification and Data Science in the Digital Age,Unavailable,Paula Brito; José G. Dias; Berthold Lausen; Angela Montanari; Rebecca Nugent,2023,https://doi.org/10.1007/978-3-031-09034-9,0
978-94-009-9197-2,Classification and Ordination,"Symposium on advances in vegetation science, Nijmegen, The Netherlands, May 1979",E. van der Maarel,1980,https://doi.org/10.1007/978-94-009-9197-2,180
978-1-4020-3095-6,Classifying Science,"Phenomena, Data, Theory, Method, Practice",Rick Szostak,2004,https://doi.org/10.1007/978-1-4020-3095-6,400
978-1-61091-203-7,Climate and Conservation,"Landscape and Seascape Science, Planning, and Action",Jodi A. Hilty; Charles C. Chester; Molly S. Cross,2012,https://doi.org/10.5822/978-1-61091-203-7,54
978-94-009-2446-8,Climate and Geo-Sciences,A Challenge for Science and Society in the 21st Century,A.L. Berger; S. Schneider; J.Cl. Duplessy,1989,https://doi.org/10.1007/978-94-009-2446-8,400
978-94-007-4988-7,"Climate Change, Climate Science and Economics",Prospects for an Alternative Energy Future,G. Cornelis van Kooten,2013,https://doi.org/10.1007/978-94-007-4988-7,280
978-3-031-39528-4,Climate Change on Mountains,Reviving Humboldt’s Approach to Science,Olivier Dangles,2023,https://doi.org/10.1007/978-3-031-39528-4,70
978-3-030-55536-8,"Climate Change Research, Policy and Actions in Indonesia","Science, Adaptation and Mitigation",Riyanti Djalante; Joni Jupesta; Edvin Aldrian,2021,https://doi.org/10.1007/978-3-030-55536-8,300
978-94-007-5757-8,Climate Change Science: A Modern Synthesis,Volume 1 - The Physical Climate,G. Thomas Farmer; John Cook,2013,https://doi.org/10.1007/978-94-007-5757-8,419
978-3-642-25728-5,Climate Impacts on the Baltic Sea: From Science to Policy,School of Environmental Research - Organized by the Helmholtz-Zentrum Geesthacht,Marcus Reckermann; Keith Brander; Brian R. MacKenzie; Anders Omstedt,2012,https://doi.org/10.1007/978-3-642-25728-5,180
978-3-030-74713-8,"Climate, Planetary and Evolutionary Sciences",A Machine-Generated Literature Overview,Guido Visconti,2021,https://doi.org/10.1007/978-3-030-74713-8,240
978-3-319-25414-2,Cloud Computing and Services Sciences,"International Conference in Cloud Computing and Services Sciences, CLOSER 2014 Barcelona Spain, April 3–5, 2014 Revised Selected Papers",Markus Helfert; Frédéric Desprez; Donald Ferguson; Frank Leymann; Victor Méndez Munoz,2015,https://doi.org/10.1007/978-3-319-25414-2,100
978-3-030-72690-4,Co-creating in Schools Through Art and Science,Lessons Learned in Community Engagement Within the Responsible Research and Innovation Framework,Petru Sandu; Valentina Tudisca; Adriana Valente,2021,https://doi.org/10.1007/978-3-030-72690-4,120
978-3-319-58685-4,Cognitive and Affective Aspects in Science Education Research,Selected Papers from the ESERA 2015 Conference,Kaisa Hahl; Kalle Juuti; Jarkko Lampiselkä; Anna Uitto; Jari Lavonen,2017,https://doi.org/10.1007/978-3-319-58685-4,240
978-3-663-14658-2,Cognitive Modelling,Ein Beitrag zur Cognitive Science aus der Perspektive des Konstruktivismus und des Konnektionismus,Markus F. Peschl,1990,https://doi.org/10.1007/978-3-663-14658-2,201
978-3-030-70246-5,Cold War Social Science,Transnational Entanglements,Mark Solovey; Christian Dayé,2021,https://doi.org/10.1007/978-3-030-70246-5,280
978-3-030-13827-1,Collaboration Across Boundaries for Social-Ecological Systems Science,Experiences Around the World,Stephen G. Perz,2019,https://doi.org/10.1007/978-3-030-13827-1,220
978-3-662-56203-1,"Collecting, Processing and Presenting Geoscientific Information",MATLAB® and Design Recipes for Earth Sciences,Martin H. Trauth; Elisabeth Sillmann,2018,https://doi.org/10.1007/978-3-662-56203-1,419
978-1-137-00269-3,Combining Science and Metaphysics,"Contemporary Physics, Conceptual Revision and Common Sense",M. Morganti,2013,https://doi.org/10.1057/9781137002693,100
978-3-540-31920-7,Communicating Science,A Practical Guide,Pierre Laszlo,2006,https://doi.org/10.1007/3-540-31920-4,100
978-3-030-52885-0,Communicating Science and Technology in Society,Issues of Public Accountability and Engagement,Ana Delicado; Fabienne Crettaz Von Roten; Katarina Prpić,2021,https://doi.org/10.1007/978-3-030-52885-0,180
978-94-017-9097-0,Communicating Science to the Public,Opportunities and Challenges for the Asia-Pacific Region,Leo Tan Wee Hin; R. Subramaniam,2014,https://doi.org/10.1007/978-94-017-9097-0,180
978-981-19-8008-4,Communication Principles for Data Science,Unavailable,Changho Suh,2023,https://doi.org/10.1007/978-981-19-8008-4,419
978-1-137-54978-5,Complexity and Resilience in the Social and Ecological Sciences,Unavailable,Eoin Flaherty,2019,https://doi.org/10.1057/978-1-137-54978-5,260
978-3-030-79084-4,Complexity and Simplicity in Science Education,Unavailable,David Geelan; Kim Nichols; Christine V. McDonald,2021,https://doi.org/10.1007/978-3-030-79084-4,260
978-1-4684-2001-2,Complexity of Computer Computations,"Proceedings of a symposium on the Complexity of Computer Computations, held March 2022, 1972, at the IBM Thomas J. Watson Research Center, Yorktown Heights, New York, and sponsored by the Office of Naval Research, Mathematics Program, IBM World Trade Corporation, and the IBM Research Mathematical Sciences Department",R. Miller,1972,https://doi.org/10.1007/978-1-4684-2001-2,100
978-3-642-02466-5,Complex Sciences,"First International Conference, Complex 2009, Shanghai, China, February 23-25, 2009. Revised Selected Papers",Jie Zhou,2009,https://doi.org/10.1007/978-3-642-02466-5,280
978-3-642-80689-6,Computability and Decidability,An Introduction for Students of Computer Science,J. Loeckx,1972,https://doi.org/10.1007/978-3-642-80689-6,419
978-94-010-0948-5,Computational Aerosciences in the 21st Century,"Proceedings of the ICASE/LaRC/NSF/ARO Workshop, conducted by the Institute for Computer Applications in Science and Engineering, NASA Langley Research Center, The National Science Foundation and the Army Research Office, April 22–24, 1998",Manuel D. Salas; W. Kyle Anderson,2000,https://doi.org/10.1007/978-94-010-0948-5,180
978-3-030-48186-5,Computational and Analytic Methods in Science and Engineering,Unavailable,Christian Constanda,2020,https://doi.org/10.1007/978-3-030-48186-5,180
978-3-319-15799-3,Computational and Experimental Biomedical Sciences: Methods and Applications,ICCEBS 2013 -- International Conference on Computational and Experimental Biomedical Sciences,João Manuel R. S. Tavares; R.M. Natal Jorge,2015,https://doi.org/10.1007/978-3-319-15799-3,100
978-3-540-30497-5,Computational and Information Science,"First International Symposium, CIS 2004, Shanghai, China, December 16-18, 2004, Proceedings",Jun Zhang; Ji-Huan He; Yuxi Fu,2005,https://doi.org/10.1007/b104566,240
978-3-540-73920-3,Computational Discovery of Scientific Knowledge,"Introduction, Techniques, and Applications in Environmental and Life Sciences",Saso Dzeroski; Ljupco Todorovski,2007,https://doi.org/10.1007/978-3-540-73920-3,100
978-3-030-36826-5,Computational Frameworks for Political and Social Research with Python,Unavailable,Josh Cutler; Matt Dickenson,2020,https://doi.org/10.1007/978-3-030-36826-5,419
978-94-017-8642-3,Computational Intelligence Techniques in Earth and Environmental Sciences,Unavailable,Tanvir Islam; Prashant K. Srivastava; Manika Gupta; Xuan Zhu; Saumitra Mukherjee,2014,https://doi.org/10.1007/978-94-017-8642-3,180
978-3-031-08411-9,Computational Life Sciences,Data Engineering and Data Mining for Life Sciences,Jens Dörpinghaus; Vera Weil; Sebastian Schaaf; Alexander Apke,2022,https://doi.org/10.1007/978-3-031-08411-9,320
978-3-540-31726-5,Computational Life Sciences,"First International Symposium, CompLife 2005, Konstanz, Germany, September 25-27, 2005, Proceedings",Michael R. Berthold; Robert Glen; Kay Diederichs; Oliver Kohlbacher; Ingrid B. Fischer,2005,https://doi.org/10.1007/11560500,100
978-3-540-45768-8,Computational Life Sciences II,"Second International Symposium, CompLife 2006, Cambridge, UK, September 27-29, 2006, Proceedings",Michael R. Berthold; Robert Glen; Ingrid B. Fischer,2006,https://doi.org/10.1007/11875741,100
978-3-540-48260-4,Computational Methods in Engineering & Science,"Proceedings of Enhancement and Promotion of Computational Methods in Engineering and Science X"" Aug. 21-23, 2006, Sanya, China",Zhenhan Yao; Mingwu Yuan,2007,https://doi.org/10.1007/978-3-540-48260-4,538
978-90-481-9794-1,Computer and Information Sciences,Proceedings of the 25th International Symposium on Computer and Information Sciences,Erol Gelenbe; Ricardo Lent; Georgia Sakellari; Ahmet Sacan; Hakki Toroslu; Adnan Yazici,2010,https://doi.org/10.1007/978-90-481-9794-1,400
978-1-4471-2155-8,Computer and Information Sciences II,26th International Symposium on Computer and Information Sciences,Erol Gelenbe; Ricardo Lent; Georgia Sakellari,2012,https://doi.org/10.1007/978-1-4471-2155-8,400
978-1-4471-4594-3,Computer and Information Sciences III,27th International Symposium on Computer and Information Sciences,Erol Gelenbe; Ricardo Lent,2013,https://doi.org/10.1007/978-1-4471-4594-3,400
978-1-4684-7732-0,Computer Applications in the Earth Sciences,An Update of the 70s,Daniel F. Merriam,1981,https://doi.org/10.1007/978-1-4684-7732-0,100
978-1-4615-8633-3,Computer Applications in the Earth Sciences,"An International Symposium Proceedings of a conference on the state of the art held on campus at The University of Kansas, Lawrence on 1618 June 1969. Sponsored by the Kansas Geological Survey, International Association for Mathematical Geology, and University of Kansas Extension",Daniel Merriam,1969,https://doi.org/10.1007/978-1-4615-8633-3,100
978-1-4757-3458-4,Computer Intrusion Detection and Network Monitoring,A Statistical Viewpoint,David J. Marchette,2001,https://doi.org/10.1007/978-1-4757-3458-4,180
978-3-662-06381-1,Computer Modelling in Atmospheric and Oceanic Sciences,Building Knowledge,Peter K. Müller; K. Hasselmann,2004,https://doi.org/10.1007/978-3-662-06381-1,419
978-94-015-7844-8,Computer Presentation of Data in Science,"a do-it-yourself guide, based on the Apple Macintosh, for authors and illustrators in the Sciences",D. Simmonds; L. Reynolds,1989,https://doi.org/10.1007/978-94-015-7844-8,280
978-981-97-0730-0,Computer Science and Education. Computer Science and Technology,"18th International Conference, ICCSE 2023, Sepang, Malaysia, December 1–7, 2023, Proceedings, Part I",Wenxing Hong; Geetha Kanaparan,2024,https://doi.org/10.1007/978-981-97-0730-0,180
978-3-031-44668-9,Computer Science and Education in Computer Science,"19th EAI International Conference, CSECS 2023, Boston, MA, USA, June 28–29, 2023, Proceedings",Tanya Zlateva; Georgi Tuparov,2023,https://doi.org/10.1007/978-3-031-44668-9,170
978-3-031-17292-2,Computer Science and Education in Computer Science,"18th EAI International Conference, CSECS 2022, On-Site and Virtual Event, June 24-27, 2022, Proceedings",Tanya Zlateva; Rossitza Goleva,2022,https://doi.org/10.1007/978-3-031-17292-2,160
978-3-030-48325-8,Computer Science – CACIC 2019,"25th Argentine Congress of Computer Science, CACIC 2019, Río Cuarto, Argentina, October 14–18, 2019, Revised Selected Papers",Patricia Pesado; Marcelo Arroyo,2020,https://doi.org/10.1007/978-3-030-48325-8,100
978-3-031-62245-8,Computer Science – CACIC 2023,"29th Argentine Congress of Computer Science, Lujan, Argentina, October 9–12, 2023, Revised Selected Papers",Patricia Pesado; Walter Panessi; Juan Manuel Fernández,2024,https://doi.org/10.1007/978-3-031-62245-8,170
978-3-662-68313-2,Computer Science in Sport,"Modeling, Simulation, Data Analysis and Visualization of Sports-Related Data",Daniel Memmert,2024,https://doi.org/10.1007/978-3-662-68313-2,419
978-3-319-06686-8,Computer Science - Theory and Applications,"9th International Computer Science Symposium in Russia, CSR 2014, Moscow, Russia, June 7-11, 2014. Proceedings",Edward Hirsch; Sergei O. Kuznetsov; Jean-Éric Pin; Nikolay Vereshchagin,2014,https://doi.org/10.1007/978-3-319-06686-8,100
978-3-642-38536-0,Computer Science - Theory and Applications,"8th International Computer Science Symposium in Russia, CSR 2013, Ekaterinburg, Russia, June 25-29, 2013, Proceedings",Andrei A. Bulatov; Arseny M. Shur,2013,https://doi.org/10.1007/978-3-642-38536-0,100
978-3-642-03351-3,Computer Science - Theory and Applications,"Fourth International Computer Science Symposium in Russia, CSR 2009, Novosibirsk, Russia, August 18-23, 2009, Proceedings",Anna Frid; Andrei S. Morozov; Andrey Rybalchenko; Klaus W. Wagner,2009,https://doi.org/10.1007/978-3-642-03351-3,100
978-3-540-79709-8,Computer Science - Theory and Applications,"Third International Computer Science Symposium in Russia, CSR 2008, Moscow, Russia, June 7-12, 2008, Proceedings",Edward A. Hirsch; Alexander A. Razborov; Alexei Semenov; Anatol Slissenko,2008,https://doi.org/10.1007/978-3-540-79709-8,100
978-3-540-74510-5,Computer Science - Theory and Applications,"Second International Symposium on Computer Science in Russia, CSR 2007, Ekaterinburg, Russia, September 3-7, 2007, Proceedings",Volker Diekert; Mikhail Volkov; Andrei Voronkov,2007,https://doi.org/10.1007/978-3-540-74510-5,100
978-3-319-20297-6,Computer Science -- Theory and Applications,"10th International Computer Science Symposium in Russia, CSR 2015, Listvyanka, Russia, July 13-17, 2015, Proceedings",Lev D. Beklemishev; Daniil V. Musatov,2015,https://doi.org/10.1007/978-3-319-20297-6,100
978-3-642-30642-6,Computer Science -- Theory and Applications,"7th International Computer Science Symposium in Russia, CSR 2012, Niszhny Novgorod, Russia, July 3-7, 2012, Proceedings",Edward Hirsch; Juhani Karhumäki; Arto Lepistö; Michail Prilutskii,2012,https://doi.org/10.1007/978-3-642-30642-6,100
978-3-642-13182-0,Computer Science -- Theory and Applications,"5th International Computer Science Symposium in Russia, CSR 2010, Kazan, Russia, June 16-20, 2010, Proceedings",Farid M. Ablaev; Ernst W. Mayr,2010,https://doi.org/10.1007/978-3-642-13182-0,100
978-3-540-34168-0,Computer Science -- Theory and Applications,"First International Symposium on Computer Science in Russia, CSR 2006, St. Petersburg, Russia, June 8-12, 2006, Proceedings",Dima Grigoriev; John Harrison; Edward A. Hirsch,2006,https://doi.org/10.1007/11753728,180
978-3-031-09574-0,Computer Science – Theory and Applications,"17th International Computer Science Symposium in Russia, CSR 2022, Virtual Event, June 29 – July 1, 2022, Proceedings",Alexander S. Kulikov; Sofya Raskhodnikova,2022,https://doi.org/10.1007/978-3-031-09574-0,150
978-3-030-79416-3,Computer Science – Theory and Applications,"16th International Computer Science Symposium in Russia, CSR 2021, Sochi, Russia, June 28–July 2, 2021, Proceedings",Rahul Santhanam; Daniil Musatov,2021,https://doi.org/10.1007/978-3-030-79416-3,100
978-3-030-50026-9,Computer Science – Theory and Applications,"15th International Computer Science Symposium in Russia, CSR 2020, Yekaterinburg, Russia, June 29 – July 3, 2020, Proceedings",Henning Fernau,2020,https://doi.org/10.1007/978-3-030-50026-9,100
978-3-319-58747-9,Computer Science – Theory and Applications,"12th International Computer Science Symposium in Russia, CSR 2017, Kazan, Russia, June 8-12, 2017, Proceedings",Pascal Weil,2017,https://doi.org/10.1007/978-3-319-58747-9,100
978-3-319-34171-2,Computer Science – Theory and Applications,"11th International Computer Science Symposium in Russia, CSR 2016, St. Petersburg, Russia, June 9-13, 2016, Proceedings",Alexander S. Kulikov; Gerhard J. Woeginger,2016,https://doi.org/10.1007/978-3-319-34171-2,100
978-3-642-20712-9,Computer Science – Theory and Applications,"6th International Computer Science Symposium in Russia, CSR 2011, St. Petersburg, Russia, June 14-18, 2011. Proceedings",Alexander Kulikov; Nikolay Vereshchagin,2011,https://doi.org/10.1007/978-3-642-20712-9,100
978-1-4757-0546-1,Computers in Life Science Research,Unavailable,William Siler,1974,https://doi.org/10.1007/978-1-4757-0546-1,100
978-3-319-91908-9,Computing and Software Science,State of the Art and Perspectives,Bernhard Steffen; Gerhard Woeginger,2019,https://doi.org/10.1007/978-3-319-91908-9,60
978-3-540-38374-1,Computing Methods in Applied Sciences and Engineering,"International Symposium, Versailles, December 17-21, 1973, Part 1",R. Glowinski; J.L. Lions,1974,https://doi.org/10.1007/BFb0015170,60
978-3-540-38380-2,Computing Methods in Applied Sciences and Engineering,"International Symposium, Versailles, December 17-21,1973, Part 2",R. Glowinski; J.L. Lions,1974,https://doi.org/10.1007/3-540-06769-8,25
978-94-009-9019-7,Concept Formation in the Humanities and the Social Sciences,Unavailable,T. Pawlowski,1980,https://doi.org/10.1007/978-94-009-9019-7,180
978-94-007-5914-5,Concepts of Matter in Science Education,Unavailable,Georgios Tsaparlis; Hannah Sevian,2013,https://doi.org/10.1007/978-94-007-5914-5,280
978-3-319-61742-8,Confectionery Science and Technology,Unavailable,Richard W. Hartel; Joachim H. von Elbe; Randy Hofberger,2018,https://doi.org/10.1007/978-3-319-61742-8,160
978-3-662-64008-1,Configural Frequency Analysis,"Foundations, Models, and Applications",Alexander von Eye; Wolfgang Wiedermann,2021,https://doi.org/10.1007/978-3-662-64008-1,240
978-3-319-16399-4,Connecting Science and Engineering Education Practices in Meaningful Ways,Building Bridges,Leonard A. Annetta; James Minogue,2016,https://doi.org/10.1007/978-3-319-16399-4,180
978-94-009-3821-2,Conscience: An Interdisciplinary View,Salzburg Colloquium on Ethics in the Sciences and Humanities,G. Zecha; P. Weingartner,1987,https://doi.org/10.1007/978-94-009-3821-2,280
978-0-230-28182-0,Constructive Empiricism,Epistemology and the Philosophy of Science,P. Dicken,2010,https://doi.org/10.1057/9780230281820,100
